year,month,monthly_temperature_K,monthly_temperature_C
2016,1,273.9978,0.84780884
2016,2,278.04422,4.894226
2016,3,281.7344,8.584412
2016,4,286.93112,13.781128
2016,5,288.56558,15.415588
2016,6,291.46686,18.316864
2016,7,290.8749,17.724915
2016,8,290.88385,17.733856
2016,9,289.46924,16.319244
2016,10,285.93402,12.784027
2016,11,280.89313,7.7431335
2016,12,278.35275,5.202759
2017,1,273.81314,0.663147
2017,2,277.60342,4.45343
2017,3,279.6808,6.530792
2017,4,286.03937,12.889374
2017,5,288.4459,15.295898
2017,6,291.16373,18.013733
2017,7,291.0017,17.851715
2017,8,291.04227,17.892273
2017,9,290.09323,16.943237
2017,10,286.3315,13.181519
2017,11,280.0197,6.8697205
2017,12,277.03223,3.8822327
2018,1,274.81958,1.6695862
2018,2,277.3142,4.164215
2018,3,281.29526,8.145264
2018,4,285.27933,12.1293335
2018,5,288.58438,15.434387
2018,6,291.82513,18.67514
2018,7,291.44812,18.298126
2018,8,290.83142,17.681427
2018,9,289.3505,16.2005
2018,10,283.7078,10.5578
2018,11,280.05902,6.909027
2018,12,274.66006,1.5100708
2019,1,272.5263,-0.62368774
2019,2,274.4417,1.2917175
2019,3,278.4721,5.322113
2019,4,285.29895,12.148956
2019,5,288.71252,15.5625305
2019,6,291.67657,18.52658
2019,7,291.07016,17.920166
2019,8,291.37772,18.227722
2019,9,289.23438,16.084381
2019,10,284.89197,11.741974
2019,11,280.86047,7.7104797
2019,12,273.4655,0.31552124
2020,1,272.18628,-0.9637146
2020,2,275.0256,1.8756104
2020,3,279.26743,6.1174316
2020,4,283.80188,10.651886
2020,5,287.11624,13.966248
2020,6,290.23053,17.080536
2020,7,291.19537,18.04538
2020,8,291.468,18.317993
2020,9,290.23862,17.088623
2020,10,286.57922,13.42923
2020,11,279.0543,5.904297
2020,12,275.51846,2.3684692
2021,1,275.26926,2.1192627
2021,2,277.42203,4.2720337
2021,3,282.05563,8.90564
2021,4,284.46503,11.315033
2021,5,287.0296,13.879608
2021,6,290.2731,17.123108
2021,7,291.56793,18.417938
2021,8,291.0036,17.853607
2021,9,289.57825,16.428253
2021,10,286.0661,12.916107
2021,11,279.7364,6.5863953
2021,12,274.35437,1.2043762
2022,1,272.25778,-0.8922119
2022,2,273.87653,0.726532
2022,3,282.79083,9.640839
2022,4,287.38748,14.237488
2022,5,289.0751,15.92511
2022,6,291.87183,18.721832
2022,7,292.13812,18.988129
2022,8,291.67065,18.52066
2022,9,289.5107,16.360718
2022,10,284.14813,10.998138
2022,11,280.0038,6.853821
2022,12,276.71368,3.5636902
2023,1,274.451,1.3009949
2023,2,278.17914,5.0291443
2023,3,280.88028,7.7302856
2023,4,284.3507,11.200714
2023,5,286.72134,13.57135
2023,6,291.4306,18.28061
2023,7,291.65057,18.50058
2023,8,291.19138,18.041382
2023,9,290.05405,16.904053
2023,10,284.82465,11.674652
2023,11,280.13074,6.9807434
2023,12,275.93524,2.7852478
2024,1,273.04556,-0.10443115
2024,2,275.69766,2.5476685
2024,3,280.4469,7.2969055
2024,4,286.1893,13.039307
2024,5,289.33167,16.181671
2024,6,292.52188,19.371887
2024,7,292.19342,19.043427
2024,8,291.15472,18.00473
2024,9,289.97092,16.820923
2024,10,286.33215,13.182159
2024,11,281.47357,8.323578
2024,12,276.34784,3.1978455
